PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

PIC16LF1518                  Midrange/1.8V Min
PIC16LF1519                  Midrange/1.8V Min
PIC16LF1526                  Midrange/1.8V Min
PIC16LF1527                  Midrange/1.8V Min
PIC16LF1554                  Midrange/1.8V Min
PIC16LF1559                  Midrange/1.8V Min
PIC16LF1782                  Midrange/1.8V Min
PIC16LF1783                  Midrange/1.8V Min
PIC16LF1784                  Midrange/1.8V Min
PIC16LF1786                  Midrange/1.8V Min
PIC16LF1787                  Midrange/1.8V Min
PIC16LF1823                  Midrange/1.8V Min
PIC16LF1824                  Midrange/1.8V Min
PIC16LF1825                  Midrange/1.8V Min
PIC16LF1826                  Midrange/1.8V Min
PIC16LF1827                  Midrange/1.8V Min
PIC16LF1828                  Midrange/1.8V Min
PIC16LF1829                  Midrange/1.8V Min
PIC16LF1847                  Midrange/1.8V Min
PIC16LF1902                  Midrange/1.8V Min
PIC16LF1903                  Midrange/1.8V Min
PIC16LF1904                  Midrange/1.8V Min
PIC16LF1906                  Midrange/1.8V Min
PIC16LF1907                  Midrange/1.8V Min
PIC16LF1933                  Midrange/1.8V Min
PIC16LF1934                  Midrange/1.8V Min
PIC16LF1936                  Midrange/1.8V Min
PIC16LF1937                  Midrange/1.8V Min
PIC16LF1938                  Midrange/1.8V Min
PIC16LF1939                  Midrange/1.8V Min
PIC16LF1946                  Midrange/1.8V Min
PIC16LF1947                  Midrange/1.8V Min
PIC12F1571                   Midrange/1.8v MinII
PIC12F1572                   Midrange/1.8v MinII
PIC12F1612                   Midrange/1.8v MinII
PIC12LF1571                  Midrange/1.8v MinII
PIC12LF1572                  Midrange/1.8v MinII
PIC12LF1612                  Midrange/1.8v MinII
PIC16F1454                   Midrange/1.8v MinII
PIC16F1455                   Midrange/1.8v MinII
PIC16F1459                   Midrange/1.8v MinII
PIC16F1574                   Midrange/1.8v MinII
PIC16F1575                   Midrange/1.8v MinII
PIC16F1578                   Midrange/1.8v MinII
PIC16F1579                   Midrange/1.8v MinII
PIC16F1613                   Midrange/1.8v MinII
PIC16F1614                   Midrange/1.8v MinII
PIC16F1615                   Midrange/1.8v MinII
PIC16F1618                   Midrange/1.8v MinII
PIC16F1619                   Midrange/1.8v MinII
PIC16F1703                   Midrange/1.8v MinII
PIC16F1704                   Midrange/1.8v MinII
PIC16F1705                   Midrange/1.8v MinII
PIC16F1707                   Midrange/1.8v MinII
PIC16F1708                   Midrange/1.8v MinII
PIC16F1709                   Midrange/1.8v MinII
PIC16F1713                   Midrange/1.8v MinII
PIC16F1716                   Midrange/1.8v MinII
PIC16F1717                   Midrange/1.8v MinII
PIC16F1718                   Midrange/1.8v MinII
PIC16F1719                   Midrange/1.8v MinII
PIC16F1764                   Midrange/1.8v MinII
PIC16F1765                   Midrange/1.8v MinII
PIC16F1768                   Midrange/1.8v MinII
PIC16F1769                   Midrange/1.8v MinII
PIC16F1773                   Midrange/1.8v MinII
PIC16F1776                   Midrange/1.8v MinII
PIC16F1777                   Midrange/1.8v MinII
PIC16F1778                   Midrange/1.8v MinII
PIC16F1779                   Midrange/1.8v MinII
PIC16F1788                   Midrange/1.8v MinII
PIC16F1789                   Midrange/1.8v MinII
PIC16F18313                  Midrange/1.8v MinII
PIC16F18323                  Midrange/1.8v MinII
PIC16F18324                  Midrange/1.8v MinII
PIC16F18325                  Midrange/1.8v MinII
PIC16F18326                  Midrange/1.8v MinII
PIC16F18344                  Midrange/1.8v MinII
PIC16F18345                  Midrange/1.8v MinII
PIC16F18346                  Midrange/1.8v MinII
PIC16LF1454                  Midrange/1.8v MinII
PIC16LF1455                  Midrange/1.8v MinII
PIC16LF1459                  Midrange/1.8v MinII
PIC16LF1566                  Midrange/1.8v MinII
